GEOID,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
37183,1.611759764,1.547736339,220.8,54.3,46.3,0.141962666,14.63138952,2803.961849,1574945.333,0,0,0.349732949,0.155483176,0.370053541,0.02012262,2.012262
10003,1.685116632,0.107950773,117.7,59.6,33.8,-0.033919985,14.51761184,3214.694779,810819.6667,0.004385217,0.019322689,0.247885098,0.142318199,0.298556119,0.01053263,1.053263
24005,1.82940717,0.220664749,121.9,58,32.7,-0.022118312,14.36278634,3306.935757,1033667.667,0,0.001128762,0.262015115,0.138157695,0.298877044,0.010819171,1.0819171
13151,1.604969127,0.373189184,111.2,33.7,47.5,-0.066124115,14.34919812,2599.487078,694443.6667,0,0,0.219971448,0.125674251,0.318668519,0.008809511,0.8809511
09003,1.959605025,2.247282032,348.5,54,37.9,0.586011424,14.30783339,2885.328519,1049064.667,0.000150762,0.005988857,0.4612108,0.13975236,0.316005648,0.020368238,2.0368238
51530,1.311795182,1.87721069,247.7,69.7,30.9,0.382472197,14.25283523,2275.089814,4391.666667,0,0,0.340289932,0.102878623,0.272207992,0.00952961,0.952961
48397,1.471192054,-0.075338563,103.5,33.7,33.7,-0.162877619,14.20794534,2398.361902,279245.3333,0,0,0.147767599,0.111369825,0.279278492,0.004596045,0.4596045
48453,1.625951888,0.230379751,82.4,25.6,41.5,-0.086727845,14.1963181,2889.914456,2143128,0,0,0.171250075,0.170353482,0.358071668,0.010446041,1.0446041
12095,1.590605199,0.136646344,144.9,46.9,89.7,-0.190381146,14.11785309,3580.136893,1923208.667,0,0.00083186,0.379599492,0.16458347,0.431110145,0.026933952,2.6933952
26125,2.23935155,0.918566449,98.7,62.3,30,0.002399573,13.74556719,2504.942104,1493599.333,0,0,0.332866778,0.146253457,0.316011579,0.015384365,1.5384365
20209,1.938800475,-0.106181559,64.9,49.3,30.8,-0.233436114,13.70200516,2186.09625,179202,0,0,0.219068251,0.104350309,0.307389951,0.007026885,0.7026885
51580,2.012534494,-0.621950861,43.1,64.9,43.1,-0.142588607,13.63899994,2350.070664,2696.666667,0,0,0.280815543,0.098704667,0.279630091,0.007750732,0.7750732
